tuman,tuman_id,zona,yil,suv_mln_m3,maydon_ming_ga,mehnat_ming_kishi,kapital_2018_mlrd,ogit_kg_ga,paxta_ulush,gala_ulush,sabzavot_ulush,bog_uzum_ulush,shorlanish_indeks,shorlanish_bazaviy,hisoblagich_qamrov,kanal_fik,deflyator,kurs_som_usd,yalpi_2018narx_mlrd,yalpi_joriy_mlrd
Жондор,4,orta,2018,500.3,33.49,19.45,186.6,267.0,0.358,0.28,0.265,0.098,0.331,0.36,67.0,0.615,100.0,8340,711.4,711.4
Жондор,4,orta,2019,507.1,33.8,18.77,223.6,266.0,0.28,0.342,0.254,0.124,0.315,0.36,70.6,0.622,115.2,9500,652.4,751.6
Жондор,4,orta,2020,434.5,32.55,21.76,238.3,302.0,0.31,0.273,0.29,0.126,0.4,0.36,72.2,0.63,132.8,10480,743.2,987.0
Жондор,4,orta,2021,419.6,31.98,16.95,237.3,292.0,0.305,0.286,0.269,0.14,0.414,0.36,78.3,0.641,152.4,10840,697.7,1063.2
Жондор,4,orta,2022,394.3,32.15,17.89,243.0,317.0,0.261,0.251,0.344,0.143,0.329,0.36,79.7,0.652,175.1,11220,738.3,1292.7
Жондор,4,orta,2023,437.8,31.05,17.25,259.9,339.0,0.243,0.255,0.363,0.139,0.307,0.36,85.9,0.664,196.3,12340,744.3,1461.2
Жондор,4,orta,2024,429.6,31.52,19.44,298.8,314.0,0.247,0.212,0.394,0.147,0.316,0.36,86.1,0.678,213.9,12780,771.1,1649.4
Когон,5,orta,2014,299.7,19.46,11.91,94.5,298.0,0.403,0.346,0.184,0.067,0.321,0.33,62.4,0.578,44.0,2320,382.4,168.2
Когон,5,orta,2015,280.9,19.72,12.4,101.6,283.0,0.392,0.296,0.228,0.084,0.336,0.33,66.7,0.586,51.0,2570,351.1,179.0
Когон,5,orta,2016,232.8,19.26,13.32,104.1,273.0,0.363,0.335,0.206,0.097,0.358,0.33,71.1,0.594,59.0,2965,380.6,224.5
Когон,5,orta,2017,261.4,19.45,12.01,105.5,308.0,0.334,0.341,0.235,0.09,0.312,0.33,73.7,0.604,74.0,5120,347.6,257.2
Когон,5,orta,2018,266.2,19.28,11.77,113.9,284.0,0.347,0.329,0.213,0.112,0.345,0.33,82.1,0.615,100.0,8340,406.9,406.9
Когон,5,orta,2019,232.5,18.91,10.68,116.4,288.0,0.346,0.29,0.236,0.127,0.32,0.33,85.1,0.622,115.2,9500,400.4,461.2
Когон,5,orta,2020,230.9,18.95,11.39,130.8,295.0,0.296,0.279,0.294,0.131,0.319,0.33,86.1,0.63,132.8,10480,419.3,556.8
Когон,5,orta,2021,215.9,19.18,9.86,133.5,304.0,0.254,0.309,0.295,0.143,0.339,0.33,93.6,0.641,152.4,10840,413.1,629.5
Когон,5,orta,2022,228.1,19.3,11.96,156.3,312.0,0.3,0.276,0.284,0.14,0.323,0.33,93.7,0.652,175.1,11220,430.8,754.3
Когон,5,orta,2023,233.4,18.86,12.33,137.4,302.0,0.234,0.226,0.378,0.162,0.338,0.33,99.0,0.664,196.3,12340,441.0,865.7
Когон,5,orta,2024,266.9,18.89,10.47,144.9,329.0,0.221,0.251,0.365,0.162,0.302,0.33,99.0,0.678,213.9,12780,534.9,1144.2
Олот,6,oxirgi,2014,529.4,31.6,19.79,149.1,235.0,0.42,0.342,0.159,0.08,0.534,0.62,36.7,0.543,44.0,2320,449.4,197.8
Олот,6,oxirgi,2015,473.4,30.24,20.3,153.5,215.0,0.439,0.342,0.158,0.062,0.611,0.62,45.8,0.551,51.0,2570,478.9,244.2
Олот,6,oxirgi,2016,463.2,29.9,19.78,149.8,237.0,0.417,0.329,0.162,0.093,0.6,0.62,43.5,0.558,59.0,2965,423.7,250.0
Олот,6,oxirgi,2017,451.2,30.62,19.15,158.2,239.0,0.389,0.32,0.185,0.106,0.609,0.62,48.0,0.568,74.0,5120,517.5,383.0
Олот,6,oxirgi,2018,423.2,29.6,17.58,151.7,238.0,0.35,0.321,0.229,0.099,0.638,0.62,47.6,0.578,100.0,8340,475.4,475.4
Олот,6,oxirgi,2019,448.7,28.36,18.36,142.4,263.0,0.342,0.282,0.253,0.124,0.59,0.62,58.0,0.585,115.2,9500,492.1,567.0
Олот,6,oxirgi,2020,371.6,28.87,18.39,174.3,256.0,0.332,0.283,0.246,0.14,0.591,0.62,61.9,0.592,132.8,10480,525.7,698.2
Олот,6,oxirgi,2021,332.1,27.94,17.14,181.7,276.0,0.308,0.326,0.241,0.126,0.629,0.62,63.1,0.603,152.4,10840,457.5,697.2
Олот,6,oxirgi,2022,413.9,28.18,15.9,183.0,270.0,0.291,0.26,0.295,0.154,0.533,0.62,64.1,0.613,175.1,11220,518.2,907.4
Олот,6,oxirgi,2023,428.0,28.0,14.25,182.4,261.0,0.222,0.222,0.396,0.16,0.495,0.62,73.9,0.624,196.3,12340,529.6,1039.6
Олот,6,oxirgi,2024,412.1,26.77,16.49,194.4,265.0,0.204,0.245,0.399,0.152,0.562,0.62,72.6,0.637,213.9,12780,558.1,1193.8
Пешку,7,orta,2014,301.0,24.29,14.24,118.2,270.0,0.416,0.348,0.165,0.071,0.325,0.31,40.0,0.578,44.0,2320,377.0,165.9
Пешку,7,orta,2015,311.3,24.92,16.59,130.9,292.0,0.39,0.319,0.212,0.079,0.317,0.31,44.3,0.586,51.0,2570,443.8,226.3
Пешку,7,orta,2016,336.9,23.95,13.22,139.5,287.0,0.39,0.302,0.219,0.088,0.322,0.31,53.9,0.594,59.0,2965,363.7,214.6
Пешку,7,orta,2017,313.4,24.39,14.39,161.9,294.0,0.364,0.314,0.209,0.113,0.288,0.31,52.8,0.604,74.0,5120,459.2,339.8
Пешку,7,orta,2018,338.8,23.96,13.47,163.7,286.0,0.357,0.311,0.209,0.123,0.31,0.31,59.8,0.615,100.0,8340,477.1,477.1
Пешку,7,orta,2019,314.7,24.02,14.62,169.8,302.0,0.271,0.288,0.323,0.118,0.27,0.31,59.0,0.622,115.2,9500,482.0,555.3
Пешку,7,orta,2020,302.1,24.17,12.95,187.6,312.0,0.295,0.233,0.349,0.123,0.283,0.31,59.0,0.63,132.8,10480,519.4,689.8
Пешку,7,orta,2021,264.7,23.51,13.79,212.4,319.0,0.274,0.261,0.335,0.129,0.275,0.31,61.3,0.641,152.4,10840,501.1,763.7
Пешку,7,orta,2022,321.1,23.3,14.04,230.9,313.0,0.29,0.231,0.344,0.135,0.25,0.31,69.1,0.652,175.1,11220,588.2,1030.0
Пешку,7,orta,2023,358.7,24.22,12.97,243.3,358.0,0.259,0.272,0.31,0.16,0.254,0.31,69.0,0.664,196.3,12340,605.5,1188.7
Пешку,7,orta,2024,290.6,23.82,15.5,238.4,322.0,0.213,0.266,0.361,0.16,0.263,0.31,73.8,0.678,213.9,12780,602.6,1288.9
Ромитан,8,orta,2014,386.8,26.78,18.68,130.6,270.0,0.403,0.309,0.212,0.076,0.292,0.3,42.8,0.578,44.0,2320,467.5,205.7
Ромитан,8,orta,2015,392.6,26.65,13.58,117.1,257.0,0.43,0.298,0.191,0.08,0.288,0.3,43.7,0.586,51.0,2570,490.4,250.1
Ромитан,8,orta,2016,362.0,26.57,16.73,130.4,287.0,0.361,0.305,0.24,0.094,0.279,0.3,47.5,0.594,59.0,2965,473.8,279.6
Ромитан,8,orta,2017,332.3,26.32,16.42,129.6,291.0,0.351,0.317,0.216,0.116,0.287,0.3,48.7,0.604,74.0,5120,528.2,390.9
Ромитан,8,orta,2018,312.6,26.87,16.92,142.3,296.0,0.342,0.302,0.258,0.098,0.274,0.3,50.9,0.615,100.0,8340,515.2,515.2
Ромитан,8,orta,2019,349.1,26.08,16.8,160.8,301.0,0.353,0.302,0.239,0.106,0.242,0.3,59.6,0.622,115.2,9500,541.2,623.4
Ромитан,8,orta,2020,331.2,26.56,15.28,167.3,292.0,0.306,0.266,0.291,0.136,0.287,0.3,63.1,0.63,132.8,10480,560.9,744.9
Ромитан,8,orta,2021,313.3,25.98,15.08,182.5,326.0,0.308,0.287,0.273,0.132,0.302,0.3,62.6,0.641,152.4,10840,559.4,852.6
Ромитан,8,orta,2022,330.4,25.81,15.42,183.4,338.0,0.289,0.283,0.29,0.138,0.28,0.3,62.7,0.652,175.1,11220,585.5,1025.2
Ромитан,8,orta,2023,343.1,26.23,14.12,176.9,352.0,0.245,0.241,0.361,0.154,0.267,0.3,68.0,0.664,196.3,12340,654.9,1285.6
Ромитан,8,orta,2024,293.6,25.42,16.68,184.2,348.0,0.258,0.206,0.366,0.17,0.232,0.3,71.9,0.678,213.9,12780,646.1,1382.0
Шофиркон,9,bosh,2014,398.5,28.97,18.02,142.0,265.0,0.404,0.326,0.192,0.078,0.226,0.26,44.0,0.578,44.0,2320,538.2,236.8
Шофиркон,9,bosh,2015,401.2,28.97,17.95,147.2,287.0,0.4,0.312,0.192,0.095,0.246,0.26,56.2,0.586,51.0,2570,543.4,277.1
Шофиркон,9,bosh,2016,375.8,28.94,16.96,157.6,308.0,0.388,0.359,0.17,0.084,0.274,0.26,58.9,0.594,59.0,2965,565.8,333.8
Шофиркон,9,bosh,2017,379.8,29.66,19.96,168.3,320.0,0.347,0.28,0.288,0.084,0.241,0.26,68.4,0.604,74.0,5120,627.8,464.6
Шофиркон,9,bosh,2018,355.0,28.84,18.02,154.3,302.0,0.342,0.293,0.26,0.105,0.252,0.26,74.2,0.615,100.0,8340,619.4,619.4
Шофиркон,9,bosh,2019,374.2,29.37,19.42,164.3,311.0,0.313,0.306,0.26,0.121,0.233,0.26,84.6,0.622,115.2,9500,651.3,750.3
Шофиркон,9,bosh,2020,370.5,29.03,19.35,160.7,306.0,0.284,0.301,0.294,0.121,0.225,0.26,91.6,0.63,132.8,10480,670.2,890.0
Шофиркон,9,bosh,2021,334.8,28.05,18.15,176.1,342.0,0.274,0.252,0.34,0.134,0.278,0.26,99.0,0.641,152.4,10840,667.0,1016.6
Шофиркон,9,bosh,2022,383.2,29.37,17.93,193.6,314.0,0.266,0.235,0.352,0.147,0.207,0.26,99.0,0.652,175.1,11220,751.7,1316.3
Шофиркон,9,bosh,2023,338.2,28.86,17.49,207.3,303.0,0.271,0.238,0.332,0.158,0.189,0.26,99.0,0.664,196.3,12340,747.9,1468.1
Шофиркон,9,bosh,2024,322.0,27.93,19.81,218.9,353.0,0.255,0.224,0.356,0.165,0.197,0.26,99.0,0.678,213.9,12780,798.1,1707.1
Қоракўл,10,oxirgi,2014,670.1,35.29,28.22,167.1,237.0,0.402,0.331,0.198,0.069,0.521,0.58,34.4,0.543,44.0,2320,519.2,228.4
Қоракўл,10,oxirgi,2015,526.9,36.12,23.03,179.7,224.0,0.374,0.313,0.225,0.087,0.58,0.58,39.0,0.551,51.0,2570,545.7,278.3
Қоракўл,10,oxirgi,2016,456.6,34.73,23.07,176.7,241.0,0.368,0.298,0.25,0.084,0.601,0.58,54.3,0.558,59.0,2965,453.3,267.5
Қоракўл,10,oxirgi,2017,492.8,34.2,20.64,230.8,249.0,0.356,0.316,0.219,0.109,0.544,0.58,53.3,0.568,74.0,5120,514.0,380.4
Қоракўл,10,oxirgi,2018,482.8,34.27,19.51,229.8,247.0,0.35,0.335,0.204,0.111,0.609,0.58,60.6,0.578,100.0,8340,533.1,533.1
Қоракўл,10,oxirgi,2019,580.0,34.18,21.87,234.1,263.0,0.3,0.295,0.285,0.12,0.555,0.58,66.3,0.585,115.2,9500,618.1,712.1
Қоракўл,10,oxirgi,2020,501.0,33.97,21.27,252.4,269.0,0.297,0.312,0.268,0.123,0.608,0.58,71.6,0.592,132.8,10480,633.1,840.8
Қоракўл,10,oxirgi,2021,429.6,33.3,19.96,236.7,268.0,0.294,0.288,0.266,0.152,0.495,0.58,74.0,0.603,152.4,10840,619.6,944.3
Қоракўл,10,oxirgi,2022,435.0,32.67,17.15,262.6,260.0,0.264,0.258,0.331,0.147,0.516,0.58,84.9,0.613,175.1,11220,596.0,1043.6
Қоракўл,10,oxirgi,2023,454.1,33.08,18.22,293.6,285.0,0.224,0.239,0.387,0.149,0.507,0.58,91.9,0.624,196.3,12340,695.7,1365.6
Қоракўл,10,oxirgi,2024,450.6,33.15,22.03,314.9,267.0,0.216,0.198,0.43,0.156,0.439,0.58,94.9,0.637,213.9,12780,812.6,1738.1
Қоровулбозор,11,oxirgi,2014,123.0,7.4,5.13,35.2,232.0,0.395,0.345,0.191,0.069,0.493,0.55,34.8,0.543,44.0,2320,125.0,55.0
Қоровулбозор,11,oxirgi,2015,104.4,7.5,4.75,36.0,239.0,0.417,0.338,0.164,0.081,0.582,0.55,41.6,0.551,51.0,2570,117.3,59.8
Қоровулбозор,11,oxirgi,2016,95.4,7.42,4.79,35.5,224.0,0.377,0.334,0.195,0.095,0.616,0.55,42.7,0.558,59.0,2965,122.5,72.3
Қоровулбозор,11,oxirgi,2017,108.3,7.27,4.11,44.2,259.0,0.324,0.294,0.288,0.094,0.519,0.55,47.4,0.568,74.0,5120,131.3,97.1
Қоровулбозор,11,oxirgi,2018,96.4,7.24,4.44,49.7,261.0,0.358,0.293,0.237,0.112,0.645,0.55,45.8,0.578,100.0,8340,121.6,121.6
Қоровулбозор,11,oxirgi,2019,102.7,7.35,4.3,53.9,271.0,0.297,0.305,0.28,0.118,0.567,0.55,54.1,0.585,115.2,9500,151.8,174.9
Қоровулбозор,11,oxirgi,2020,90.0,7.19,4.14,58.7,259.0,0.28,0.295,0.296,0.129,0.636,0.55,56.8,0.592,132.8,10480,124.7,165.6
Қоровулбозор,11,oxirgi,2021,79.4,7.06,3.94,58.4,278.0,0.288,0.226,0.356,0.13,0.695,0.55,58.8,0.603,152.4,10840,128.9,196.5
Қоровулбозор,11,oxirgi,2022,100.7,7.12,4.21,65.6,273.0,0.264,0.294,0.295,0.146,0.607,0.55,68.8,0.613,175.1,11220,156.7,274.4
Қоровулбозор,11,oxirgi,2023,99.5,7.03,4.13,67.0,286.0,0.228,0.241,0.385,0.146,0.551,0.55,76.2,0.624,196.3,12340,175.1,343.8
Қоровулбозор,11,oxirgi,2024,92.5,7.0,4.32,79.3,261.0,0.257,0.241,0.334,0.168,0.564,0.55,76.6,0.637,213.9,12780,170.6,365.0
